created: 2026-07-07 19:01:46.786627;
FINAL CYCLE:
Mon;Tue;Wed;Thu;Fri;Sat;Sun;WorkHours;Deviation;OnTarget;class_2_h;class_5_h;class_7_h;class_10_h;
[night000week](16:15-07:00);[reserveShift](07:00-07:00);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00dayweekend](06:00-16:45);44.0;+4.0;no;21.5;10.8;29.5;0.0;
[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00dayweekend](06:00-16:45);[00dayweekend](06:00-16:45);50.0;+10.0;no;32.2;21.5;14.8;0.0;
[00day000week](06:00-16:45);[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[freeDay_:-)_](07:00-07:00);[00dayweekend](06:00-16:45);42.0;+2.0;no;32.2;10.8;14.8;0.0;
CYCLE: 3:
[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[nightweekend](16:15-07:00);[freeDay_:-)_](07:00-07:00);44.0;+4.0;no;32.2;0.0;14.8;14.8;
[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[reserveShift](07:00-07:00);[nightweekend](16:15-07:00);[freeDay_:-)_](07:00-07:00);38.0;-2.0;no;10.8;0.0;29.5;14.8;
[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[reserveShift](07:00-07:00);[00day000week](06:00-16:45);[nightweekend](16:15-07:00);[freeDay_:-)_](07:00-07:00);38.0;-2.0;no;10.8;0.0;29.5;14.8;
[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00dayweekend](06:00-16:45);[freeDay_:-)_](07:00-07:00);42.0;+2.0;no;32.2;10.8;14.8;0.0;
[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[nightweekend](16:15-07:00);38.0;-2.0;no;10.8;0.0;29.5;14.8;
CYCLE: 1:
[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[night000week](16:15-07:00);[reserveShift](07:00-07:00);[nightweekend](16:15-07:00);46.0;+6.0;no;21.5;0.0;29.5;14.8;
[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[night000week](16:15-07:00);[reserveShift](07:00-07:00);[00day000week](06:00-16:45);[nightweekend](16:15-07:00);[freeDay_:-)_](07:00-07:00);36.0;-4.0;no;21.5;0.0;14.8;14.8;
[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[freeDay_:-)_](07:00-07:00);[00dayweekend](06:00-16:45);48.0;+8.0;no;53.8;10.8;0.0;0.0;
[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[reserveShift](07:00-07:00);[nightweekend](16:15-07:00);[freeDay_:-)_](07:00-07:00);38.0;-2.0;no;10.8;0.0;29.5;14.8;
[00day000week](06:00-16:45);[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[00dayweekend](06:00-16:45);[00dayweekend](06:00-16:45);50.0;+10.0;no;32.2;21.5;14.8;0.0;
[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[nightweekend](16:15-07:00);[freeDay_:-)_](07:00-07:00);36.0;-4.0;no;21.5;0.0;14.8;14.8;
[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[nightweekend](16:15-07:00);[freeDay_:-)_](07:00-07:00);44.0;+4.0;no;32.2;0.0;14.8;14.8;
[night000week](16:15-07:00);[reserveShift](07:00-07:00);[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00dayweekend](06:00-16:45);[nightweekend](16:15-07:00);46.0;+6.0;no;10.8;10.8;29.5;14.8;
[reserveShift](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00dayweekend](06:00-16:45);[nightweekend](16:15-07:00);44.0;+4.0;no;21.5;10.8;14.8;14.8;
CYCLE: 2:
[00day000week](06:00-16:45);[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[reserveShift](07:00-07:00);36.0;-4.0;no;21.5;0.0;29.5;0.0;
[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[reserveShift](07:00-07:00);[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00dayweekend](06:00-16:45);36.0;-4.0;no;10.8;10.8;29.5;0.0;
[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[nightweekend](16:15-07:00);40.0;+0.0;yes;0.0;0.0;44.2;14.8;
[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00dayweekend](06:00-16:45);36.0;-4.0;no;10.8;10.8;29.5;0.0;
[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00dayweekend](06:00-16:45);[00dayweekend](06:00-16:45);44.0;+4.0;no;10.8;21.5;29.5;0.0;
[00day000week](06:00-16:45);[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[nightweekend](16:15-07:00);[freeDay_:-)_](07:00-07:00);44.0;+4.0;no;32.2;0.0;14.8;14.8;
[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[nightweekend](16:15-07:00);[freeDay_:-)_](07:00-07:00);44.0;+4.0;no;32.2;0.0;14.8;14.8;
[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00dayweekend](06:00-16:45);[nightweekend](16:15-07:00);52.0;+12.0;no;32.2;10.8;14.8;14.8;
